
台灣,#genre#
CBeebies,http://192.168.0.114:6789/Smartv1.php?id=Cbeebies
History,http://192.168.0.114:6789/Smartv1.php?id=History
Kids TV,http://192.168.0.114:6789/Smartv1.php?id=KidsTV
France 24,http://192.168.0.114:6789/Smartv1.php?id=france24_twn
DW (Deutsch),http://192.168.0.114:6789/Smartv1.php?id=dw_twn
Boomerang,http://192.168.0.114:6789/Smartv1.php?id=Boomerang
BBC Earth HD,http://192.168.0.114:6789/Smartv1.php?id=bbcearth_twn
BBC Earth Lifestyle,http://192.168.0.114:6789/Smartv1.php?id=bbclifestyle_twn
MTV Live,http://192.168.0.114:6789/Smartv1.php?id=mtvhd_twn
Star Movies HD,http://192.168.0.114:6789/Smartv1.php?id=starmovies_raj
NHK World,http://192.168.0.114:6789/Smartv1.php?id=nhkworld_japan
HBO Hits HD,http://192.168.0.114:6789/Smartv1.php?id=Hbohits
HBO HD,http://192.168.0.114:6789/Smartv1.php?id=Hbo
NatGeo Wild HD,http://192.168.0.114:6789/Smartv1.php?id=Natgeowild
Warner TV,http://192.168.0.114:6789/Smartv1.php?id=WarnerTV
Nickelodeon,http://192.168.0.114:6789/Smartv1.php?id=Nickelodeon
Nick Jr,http://192.168.0.114:6789/Smartv1.php?id=Nickjr

韓國,#genre#
Arirang HD,http://192.168.0.114:6789/Smartv1.php?id=arirang_korea
Yonhap News,http://192.168.0.114:6789/Smartv1.php?id=yonhapnews_korea
CBS,http://192.168.0.114:6789/Smartv1.php?id=cbs_korea
EBS 1,http://192.168.0.114:6789/Smartv1.php?id=ebs1_korea
EBS2,http://192.168.0.114:6789/Smartv1.php?id=ebs2_korea
EBS Plus2,http://192.168.0.114:6789/Smartv1.php?id=ebsplus2_korea
SBS Plus,http://192.168.0.114:6789/Smartv1.php?id=sbsplus_korea
YTN,http://192.168.0.114:6789/Smartv1.php?id=ytn_korea
KBS World 24,http://192.168.0.114:6789/Smartv1.php?id=kbsworld24_korea
YTN Science,http://192.168.0.114:6789/Smartv1.php?id=ytnscience_korea
YTN Korean,http://192.168.0.114:6789/Smartv1.php?id=ytnkorean_korea
YTN DMB,http://192.168.0.114:6789/Smartv1.php?id=ytndmb_korea
Apps TV,http://192.168.0.114:6789/Smartv1.php?id=appongoogle_korea
Thrill,http://192.168.0.114:6789/Smartv1.php?id=Thrill
CGTN,http://192.168.0.114:6789/Smartv1.php?id=CGTN

馬來西亞,#genre#
TV1,http://192.168.0.114:6789/Smartv1.php?id=TV1
TV1 backup,http://192.168.0.114:6789/Smartv1.php?id=TV1_backup
TV2,http://192.168.0.114:6789/Smartv1.php?id=TV2
TV3,http://192.168.0.114:6789/Smartv1.php?id=TV3
TV3 backup,http://192.168.0.114:6789/Smartv1.php?id=TV3_mega
